country,security_name,event_type,ticker_event,ticker_mapping,status,score,query_used,candidate_name,exchange,reason,ticker,price_fetch_status,rows,price_fetch_reason,diagnosis
Korea,KCC CORP,deletion,002380.KS,002380.KS,mapped_yahoo_search,0.7,KCC CORP,KCC,KSC,,002380.KS,downloaded,65.0,,mapped_and_priced
Korea,MEDY-TOX,deletion,086900.KQ,086900.KQ,mapped_manual_alias,1.0,manual_alias,,,,086900.KQ,downloaded,795.0,,mapped_and_priced
Korea,OCI COMPANY,deletion,010060.KS,010060.KS,mapped_yahoo_search,0.5762,OCI,OCI Holdings,KSC,,010060.KS,downloaded,65.0,,mapped_and_priced
Korea,DUZONBIZON CO,inclusion,,,no_search_result,,,,,No Yahoo quote matched the expected country suffix/exchange with sufficient name similarity.,,,,,name_search_unmapped
USA,ACUITY BRANDS,deletion,AYI,AYI,existing_repo_mapping,1.0,existing_repo_mapping,,,,AYI,downloaded,67.0,,mapped_and_priced
USA,ALLIANCE DATA SYSTEMS,deletion,ADS,ADS,existing_repo_mapping,1.0,existing_repo_mapping,,,,ADS,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,AMERICAN AIRLINES GROUP,deletion,AAL,AAL,existing_repo_mapping,1.0,existing_repo_mapping,,,,AAL,downloaded,67.0,,mapped_and_priced
USA,APACHE CORP,deletion,APA,APA,existing_repo_mapping,1.0,existing_repo_mapping,,,,APA,downloaded,1261.0,,mapped_and_priced
USA,APOLLO GLOBAL MGMT A,inclusion,APO,APO,existing_repo_mapping,1.0,existing_repo_mapping,,,,APO,downloaded,67.0,,mapped_and_priced
USA,AVALARA,inclusion,AVLR,AVLR,existing_repo_mapping,1.0,existing_repo_mapping,,,,AVLR,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,AVANTOR,inclusion,AVTR,AVTR,existing_repo_mapping,1.0,existing_repo_mapping,,,,AVTR,downloaded,1383.0,,mapped_and_priced
USA,CABLE ONE,inclusion,CABO,CABO,existing_repo_mapping,1.0,existing_repo_mapping,,,,CABO,downloaded,699.0,,mapped_and_priced
