return_basis,country,event_type,strategy,n_trades,calendar_days,active_days,average_active_positions,cumulative_gross_return,cumulative_net_return,average_daily_net_return,volatility_daily_net,sharpe_daily_net,hit_rate_daily_net,max_drawdown_net,turnover
raw,USA,deletion,effective_d-10_to_d-1,176,2159,233,0.7512737378415933,0.5045625399223426,0.431431398947897,0.0002031291553835,0.0085851076273023,0.3756010425278693,0.0537285780453913,-0.2672419276978145,352.0
raw,Indonesia,deletion,effective_d-10_to_d-1,30,2028,169,0.1341222879684418,0.3668847498992862,0.3185931228407661,0.0001593377647136,0.0067780665813727,0.373175531546333,0.03698224852071,-0.2681161024438797,60.0
raw,Indonesia,deletion,announce_d-3_to_d+0,30,2022,69,0.0544015825914935,0.2423721978917214,0.1987045173582742,9.894912105568797e-05,0.00431464086845,0.3640554679895997,0.0143422354104846,-0.1048178391810323,60.0
raw,Indonesia,inclusion,announce_d-5_to_d+0,19,2024,80,0.0533596837944664,0.2799173380243958,0.2444228651994135,0.0001221236858915,0.0053616398301396,0.3615784487162016,0.0153162055335968,-0.1901557452449696,38.0
raw,USA,deletion,effective_d-5_to_d-1,176,2154,112,0.3551532033426184,0.331477720976072,0.2667595837545646,0.0001246764795575,0.0054834837975766,0.360934367375017,0.021355617455896,-0.172880938350992,352.0
raw,Korea,deletion,effective_d-3_to_d+0,78,2087,91,0.1480594154288452,0.2448719143830975,0.1891946881037824,9.211964144061444e-05,0.0042467120344038,0.3443496900309923,0.0177287973167225,-0.1177769448829308,156.0
raw,Indonesia,inclusion,announce_d-1_to_d+1,19,2021,41,0.0277090549233052,0.2656998873023146,0.2311395416980532,0.0001170569354833,0.0054227786804257,0.3426695708334585,0.0064324591786244,-0.1936629751121984,38.0
raw,USA,inclusion,effective_d-10_to_d-1,170,2225,262,0.7069662921348314,0.4292216948631264,0.351627007037036,0.0001705889051502,0.0083767263705448,0.3232784260744279,0.058876404494382,-0.2327861882882582,340.0
raw,Korea,inclusion,announce_d+0_to_d+5,53,2154,143,0.1402042711234911,0.4657828591745794,0.3944561826008204,0.0002023221855148,0.0101488372588699,0.316466314670038,0.0287836583101207,-0.336472572852338,106.0
raw,USA,deletion,announce_to_effective_legacy,176,2162,336,1.0846438482886216,0.4373020579351039,0.3673355939404967,0.0002088843712361,0.0112895977303371,0.2937160980894649,0.0777058279370952,-0.3061926867277843,352.0
raw,USA,deletion,buy_hold_announce_to_effective,176,2162,336,1.0846438482886216,0.4373020579351039,0.3673355939404967,0.0002088843712361,0.0112895977303371,0.2937160980894649,0.0777058279370952,-0.3061926867277843,352.0
raw,India,inclusion,announce_to_effective_legacy,112,2229,333,0.6671152983400628,0.2953915338579809,0.232325713300233,0.0001122764284476,0.0060973321729294,0.2923135883125792,0.0717810677433826,-0.1611422458587696,224.0
raw,India,inclusion,buy_hold_announce_to_effective,112,2229,333,0.6671152983400628,0.2953915338579809,0.232325713300233,0.0001122764284476,0.0060973321729294,0.2923135883125792,0.0717810677433826,-0.1611422458587696,224.0
raw,Korea,inclusion,announce_d-5_to_d+0,53,2154,139,0.1364902506963788,0.3159695243696148,0.2518767726044302,0.0001312131784106,0.0073164613274818,0.2846929054391147,0.0278551532033426,-0.1818230902395,106.0
raw,USA,inclusion,announce_d-5_to_d+0,170,2221,168,0.4592525889239081,0.3089668592925425,0.2377896356224549,0.0001174930482461,0.0065735634595116,0.2837341314368054,0.0328680774425934,-0.1619602185941102,340.0
raw,Indonesia,inclusion,confirmed_flow_momentum_top20_effective_d-5_to_d-1,14,2023,67,0.0331191300049431,0.2203672711518596,0.1869532582220612,0.0001013150804209,0.0056795860606727,0.2831768061871504,0.0163124073158675,-0.1541136685483871,28.0
raw,Korea,inclusion,announce_d-3_to_d+0,53,2152,97,0.0961895910780669,0.2273650499053441,0.1675876751165697,8.264806529958979e-05,0.0046552166096825,0.2818337948037021,0.0176579925650557,-0.119078503994397,106.0
raw,Korea,deletion,effective_d-10_to_d-1,78,2093,225,0.3640707118967988,0.2519302122142306,0.1955870390094976,0.0001042796340685,0.006130664449494,0.2700176930188638,0.0544672718585762,-0.1414518514736268,156.0
raw,USA,inclusion,flow_neutral_reversal_short_top50_effective_d+1_to_d+5,127,2220,129,0.2666666666666666,0.2287070557808816,0.1616277448238814,8.056819494546204e-05,0.005141157061045,0.2487728791896508,0.0225225225225225,-0.2125741415016274,254.0
raw,Korea,deletion,effective_d-5_to_d-1,78,2088,114,0.1853448275862069,0.171475128144549,0.118752839468931,6.255166133762158e-05,0.0041512375458352,0.2392001972895769,0.0253831417624521,-0.1104258909698889,156.0
raw,Korea,inclusion,effective_d-3_to_d+0,53,2153,99,0.0966093822573153,0.2353951335335247,0.1754926546918467,9.780987242065338e-05,0.0067100765967718,0.2313958070015181,0.0190431955411054,-0.1501594470046082,106.0
raw,Indonesia,deletion,announce_d+0_to_d+3,30,2022,67,0.0568743818001978,0.2210371377912365,0.1774863115205482,0.0001121192529794,0.007729414176998,0.2302681577980755,0.0143422354104846,-0.2334299249320749,60.0
raw,Korea,inclusion,announce_d+0_to_d+3,53,2152,93,0.0910780669144981,0.22668728414552,0.1668922240355106,9.501118717239126e-05,0.0068445733385463,0.2203579045123179,0.0171933085501858,-0.3161778691626437,106.0
raw,Korea,inclusion,announce_d-1_to_d+1,53,2151,72,0.0706648070664807,0.1623349973073384,0.1056876606816554,5.8223914015696694e-05,0.0048576604910931,0.1902718361542086,0.0106927010692701,-0.1867695737933764,106.0
raw,India,inclusion,announce_d-1_to_d+1,112,2218,74,0.148331830477908,0.1181673319553338,0.063684936230806,3.1304225956280715e-05,0.0026402130502255,0.1882193488709902,0.0121731289449954,-0.0721356895626279,224.0
raw,India,inclusion,effective_d+0_to_d+3,112,2219,98,0.1946822893195132,0.1247074028473402,0.0699592640780593,3.612916216744792e-05,0.0033482307880897,0.1712942462249893,0.0171248310049571,-0.0980531991746339,224.0
raw,Korea,deletion,effective_d-1_to_d+1,78,2086,67,0.1059443911792905,0.1061058353984949,0.0562766434549633,3.184591330493952e-05,0.0033856007312585,0.1493200886342044,0.0086289549376797,-0.1140125689263135,156.0
raw,India,deletion,announce_to_effective_legacy,32,2162,229,0.1993524514338575,0.1301762418987546,0.0924486893489919,6.525250214342416e-05,0.0069572983844498,0.1488870106379902,0.0513413506012951,-0.3237323284695844,64.0
raw,India,deletion,buy_hold_announce_to_effective,32,2162,229,0.1993524514338575,0.1301762418987546,0.0924486893489919,6.525250214342416e-05,0.0069572983844498,0.1488870106379902,0.0513413506012951,-0.3237323284695844,64.0
raw,Indonesia,deletion,announce_d-5_to_d+0,30,2024,103,0.0830039525691699,0.1108351673120566,0.0717908331794852,5.0043123818714256e-05,0.0056059519287052,0.1417083080307936,0.0212450592885375,-0.2251787102845708,60.0
raw,USA,inclusion,effective_d-1_to_d+1,170,2218,81,0.2191163210099188,0.1190534257288036,0.0580709209959606,3.494597519891652e-05,0.0044157075881641,0.1256310901747072,0.0130748422001803,-0.1994563149491748,340.0
raw,Indonesia,deletion,announce_d+0_to_d+5,30,2024,103,0.0864624505928853,0.0962050287347762,0.0573939200757354,6.391011147679912e-05,0.0083571877860698,0.1213974836213736,0.0212450592885375,-0.2316968731466995,60.0
raw,Indonesia,inclusion,effective_d-1_to_d+1,19,2021,38,0.0257298367144977,0.0502249707580066,0.0211468453931318,5.502125605080679e-05,0.0099226734720611,0.0880241967506389,0.0049480455220188,-0.2435986761672025,38.0
raw,Korea,deletion,announce_d-3_to_d+0,78,2089,90,0.1455241742460507,0.0737464356530983,0.0255474700671356,1.881041835540577e-05,0.0036726820119942,0.0813046523433665,0.015797032072762,-0.1666264240945303,156.0
raw,India,inclusion,flow_neutral_reversal_short_top50_effective_d+1_to_d+5,23,2220,58,0.0504504504504504,0.0434390345484108,0.0188547253904305,1.8648645882959947e-05,0.0045394614494756,0.0652143605714982,0.0117117117117117,-0.1449565041232435,46.0
raw,Indonesia,deletion,effective_d-1_to_d+1,30,2021,51,0.0405739732805541,0.0334367095959033,-0.0034953809668246,1.6869178312073305e-05,0.006033317787823,0.0443851812936119,0.0074220682830282,-0.2434765196480438,60.0
raw,India,inclusion,effective_d-1_to_d+1,112,2217,73,0.144339197113216,0.0557220449620019,0.0041773312203794,5.811121029063446e-06,0.0028160071361056,0.0327586834939529,0.0103743797925124,-0.1176384218535089,224.0
raw,Korea,inclusion,effective_d-10_to_d-1,53,2159,245,0.23853635942566,-0.03883797622203,-0.0855737920653483,1.6918954017006917e-05,0.0109976815362936,0.0244215171850248,0.0509495136637332,-0.3632527008825024,106.0
raw,Korea,inclusion,effective_d-1_to_d+1,53,2152,71,0.0715613382899628,-0.0072027088417755,-0.0559866967926324,3.0601441334703384e-06,0.0079145188137109,0.0061378693086051,0.0088289962825278,-0.3853293797187869,106.0
raw,Korea,deletion,effective_d+1_to_d+5,78,2088,108,0.1748084291187739,0.0142007999661835,-0.031367578440446,-5.186390814505929e-06,0.0044803963315371,-0.018375919380951,0.0229885057471264,-0.1740242758396398,156.0
raw,Indonesia,inclusion,effective_d+1_to_d+5,19,2023,65,0.0439940682155215,-0.0293825662636794,-0.0561963113977083,-1.0010502345399162e-05,0.0061186794001412,-0.0259715843626093,0.0113692535837864,-0.2514787279943086,38.0
raw,Indonesia,inclusion,flow_neutral_reversal_short_top50_effective_d+1_to_d+5,17,2023,65,0.0390509144834404,-0.0435101986942372,-0.0699604585383397,-1.5988079264354083e-05,0.0062664663666871,-0.0405017557262644,0.0118635689569945,-0.2139412865224066,34.0
raw,Korea,inclusion,flow_neutral_reversal_short_top50_effective_d+1_to_d+5,33,2154,88,0.0691736304549675,-0.0238191705372707,-0.0604031506302368,-1.5367660101439913e-05,0.0051633184235322,-0.0472475298165684,0.0167130919220055,-0.2564434416235173,66.0
