country,event_type,strategy,n_trades,cumulative_gross_return,cumulative_net_return,average_event_gross_return,average_event_net_return,hit_rate_net,volatility_event_net,sharpe_event_net,sharpe_annualized_net,max_drawdown_net,average_holding_days,turnover,transaction_cost_bps
USA,inclusion,announce_d-5_to_d+0,170,-0.6671842777544224,-0.7639400138612582,-0.003770120069281413,-0.005770120069281415,0.47058823529411764,0.07264546998688286,-0.0794284911409244,-0.4765709468455464,-0.9097415714995891,7.0,340.0,10.0
USA,inclusion,effective_d-1_to_d+1,170,-0.2371302906279964,-0.4577236828762239,-0.0003616552792036445,-0.002361655279203646,0.48823529411764705,0.04945032172790613,-0.04775813779733007,-0.49548507742443304,-0.7603421991515795,2.3411764705882354,340.0,10.0
USA,deletion,effective_d+0_to_d+3,176,-0.5092241844569577,-0.6556248563675278,-0.0027253031130054116,-0.004725303113005413,0.4318181818181818,0.05100600071365453,-0.09264210184862483,-0.7008323699230413,-0.7863129360669101,4.403409090909091,352.0,10.0
USA,deletion,effective_d-1_to_d+1,176,-0.40723113250477616,-0.5839042280362969,-0.0016706191404254238,-0.0036706191404254256,0.4715909090909091,0.050148945398463186,-0.07319434359506814,-0.7021188059416588,-0.8296425563888645,2.7386363636363638,352.0,10.0
India,deletion,effective_d-10_to_d-1,32,-0.8803800732529166,-0.8891795167160413,-0.027701310919303744,-0.029701310919303746,0.4375,0.186515526241059,-0.15924310172932607,-0.7105724678305411,-0.9295469734779086,12.65625,64.0,10.0
India,inclusion,effective_d-3_to_d+0,112,-0.2077450134117821,-0.36728125817990187,-0.00135168537972087,-0.003351685379720872,0.5089285714285714,0.03803637120166725,-0.08811790593667246,-0.7496199672111674,-0.5243490678904261,3.482142857142857,224.0,10.0
USA,inclusion,effective_d+1_to_d+5,170,-0.7761802002509277,-0.8413934962050503,-0.006054394521783786,-0.008054394521783787,0.4764705882352941,0.07034325114712615,-0.11450131164591255,-0.7609380929018946,-0.8418840099344851,5.705882352941177,340.0,10.0
India,deletion,effective_d-5_to_d-1,32,-0.2358710333966807,-0.28378336778790014,-0.006057079415466595,-0.008057079415466597,0.4375,0.06969974983636745,-0.11559696317966739,-0.7631955339982729,-0.5163163465079146,5.78125,64.0,10.0
USA,deletion,effective_d+1_to_d+5,176,-0.894149924482646,-0.9261330921672382,-0.007581483078660547,-0.009581483078660549,0.4659090909090909,0.08713817327890402,-0.10995735529126827,-0.7697622345617252,-0.9576935156922903,5.142045454545454,352.0,10.0
Korea,inclusion,effective_d-1_to_d+1,53,-0.26941817138825086,-0.34353830701322186,-0.003607814774144124,-0.005607814774144126,0.41509433962264153,0.06987042176640218,-0.08026021072110794,-0.8042900209728487,-0.5834657337768796,2.509433962264151,106.0,10.0
Korea,inclusion,confirmed_flow_momentum_top20_effective_d-5_to_d-1,25,-0.23441121086549732,-0.2722834187060963,-0.007957680022709291,-0.009957680022709293,0.48,0.07236766347376689,-0.1375984734717728,-0.9165152979717297,-0.3019043218879681,5.68,50.0,10.0
USA,deletion,announce_d+0_to_d+5,176,-0.847566362323856,-0.893330028842565,-0.00842888337160051,-0.010428883371600512,0.4715909090909091,0.06445620954127756,-0.16179796245886732,-0.9719719034000281,-0.8953196735153836,6.982954545454546,352.0,10.0
